,,,,,,,,
,Fund Name,Fund Code,Stock Code,Previous %,Current %,Change %,Change Points,Status
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,VDEF,CTG,8.19%,7.64%,-0.55%,-0.55,CHANGED
,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,MBVF,ACB,12.95%,12.42%,-0.53%,-0.53,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DÀI HẠN VIỆT NAM,VLGF,MBB,4.85%,4.34%,-0.51%,-0.51,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,VESAF,VCI,4.05%,3.57%,-0.48%,-0.48,CHANGED
,QUỸ ĐẦU TƯ THU NHẬP CHỦ ĐỘNG VCBF,VCBFAIF,VNM,4.73%,4.29%,-0.44%,-0.44,CHANGED
,QUỸ ĐẦU TƯ THU NHẬP CHỦ ĐỘNG VCBF,VCBFAIF,FPT,4.34%,3.90%,-0.44%,-0.44,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,UVEEF,TCB,6.61%,6.18%,-0.43%,-0.43,CHANGED
,QUỸ ĐẦU TƯ GIA TĂNG GIÁ TRỊ GFM,GFMVIF,CTG,0.43%,0.00%,-0.43%,-0.43,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU TẬP TRUNG CỔ TỨC DC,VFMVF4,CTG,6.03%,5.62%,-0.41%,-0.41,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG MIRAE ASSET VIỆT NAM,MAGEF,HPG,8.84%,8.44%,-0.40%,-0.4,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,VDEF,REE,4.28%,3.88%,-0.40%,-0.4,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HÀNG ĐẦU VCBF,VCBFBCF,BWE,4.06%,3.67%,-0.39%,-0.39,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,BMFF,PVT,4.97%,4.58%,-0.39%,-0.39,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,VESAF,MWG,4.56%,4.18%,-0.38%,-0.38,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU MANULIFE,MAFEQI,FPT,5.49%,5.12%,-0.37%,-0.37,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,TBLF,SIP,4.44%,4.07%,-0.37%,-0.37,CHANGED
,QUỸ ĐẦU TƯ GIA TĂNG GIÁ TRỊ GFM,GFMVIF,BID,0.36%,0.00%,-0.36%,-0.36,REMOVED
,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,VNDAF,PVS,4.63%,4.28%,-0.35%,-0.35,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,VESAF,FPT,4.19%,3.85%,-0.34%,-0.34,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DFVN,DCAF,TCB,4.87%,4.53%,-0.34%,-0.34,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,TCGF,BMP,4.00%,3.66%,-0.34%,-0.34,CHANGED
,QUỸ ĐẦU TƯ GIA TĂNG GIÁ TRỊ GFM,GFMVIF,TCB,0.32%,0.00%,-0.32%,-0.32,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,BVFED,TCB,4.64%,4.34%,-0.30%,-0.3,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG MIRAE ASSET VIỆT NAM,MAGEF,CTG,8.58%,8.31%,-0.27%,-0.27,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,BVPF,QTP,7.07%,6.80%,-0.27%,-0.27,CHANGED
,QUỸ ĐẦU TƯ GIA TĂNG GIÁ TRỊ GFM,GFMVIF,MBB,0.26%,0.00%,-0.26%,-0.26,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,VCBFMGF,BWE,5.18%,4.92%,-0.26%,-0.26,CHANGED
,QUỸ ĐẦU TƯ THU NHẬP CHỦ ĐỘNG VCBF,VCBFAIF,BWE,3.30%,3.05%,-0.25%,-0.25,CHANGED
,QUỸ ĐẦU TƯ GIA TĂNG GIÁ TRỊ GFM,GFMVIF,ACB,0.25%,0.00%,-0.25%,-0.25,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU KINH TẾ HIỆN ĐẠI VINACAPITAL,VMPF,DGC,4.76%,4.51%,-0.25%,-0.25,CHANGED
,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,MBVF,QNS,3.43%,3.19%,-0.24%,-0.24,CHANGED
,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,MBVF,QTP,4.61%,4.38%,-0.23%,-0.23,CHANGED
,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,VFMVF1,STB,5.31%,5.08%,-0.23%,-0.23,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,BVFED,CTG,3.41%,3.19%,-0.22%,-0.22,CHANGED
,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,VNDAF,PNJ,4.31%,4.09%,-0.22%,-0.22,CHANGED
,QUỸ ĐẦU TƯ THU NHẬP CHỦ ĐỘNG VCBF,VCBFAIF,PNJ,3.26%,3.04%,-0.22%,-0.22,CHANGED
,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,VFMVF1,VHM,5.24%,5.04%,-0.20%,-0.2,CHANGED
,QUỸ ĐẦU TƯ THỊNH VƯỢNG RỒNG VIỆT,RVPF24,KBC,6.70%,6.50%,-0.20%,-0.2,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,VCBFMGF,PNJ,5.23%,5.04%,-0.19%,-0.19,CHANGED
,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,SSISCA,ACB,4.69%,4.51%,-0.18%,-0.18,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG MIRAE ASSET VIỆT NAM,MAGEF,STB,4.65%,4.49%,-0.16%,-0.16,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,VESAF,BVH,5.24%,5.08%,-0.16%,-0.16,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC TĂNG TRƯỞNG KIM,KDEF,SSI,4.34%,4.18%,-0.16%,-0.16,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,VCBFMGF,FPT,5.52%,5.36%,-0.16%,-0.16,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TẬP TRUNG CỔ TỨC DC,VFMVF4,STB,5.56%,5.42%,-0.14%,-0.14,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,UVEEF,STB,4.62%,4.48%,-0.14%,-0.14,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,TCGF,HPG,9.35%,9.21%,-0.14%,-0.14,CHANGED
,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,MBVF,CTG,4.09%,3.96%,-0.13%,-0.13,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU KINH TẾ HIỆN ĐẠI VINACAPITAL,VMPF,FPT,4.42%,4.29%,-0.13%,-0.13,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HÀNG ĐẦU VCBF,VCBFBCF,PNJ,3.98%,3.86%,-0.12%,-0.12,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,UVEEF,MBB,5.94%,5.82%,-0.12%,-0.12,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DÀI HẠN VIỆT NAM,VLGF,CTG,4.69%,4.57%,-0.12%,-0.12,CHANGED
,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,VFMVF1,HPG,3.70%,3.59%,-0.11%,-0.11,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DFVN,DCAF,HPG,4.45%,4.35%,-0.10%,-0.1,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DÀI HẠN VIỆT NAM,VLGF,KDH,4.72%,4.62%,-0.10%,-0.1,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,BVPF,ND2,4.15%,4.06%,-0.09%,-0.09,CHANGED
,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,SSISCA,VCB,4.64%,4.55%,-0.09%,-0.09,CHANGED
,QUỸ ĐẦU TƯ THỊNH VƯỢNG RỒNG VIỆT,RVPF24,HPG,5.05%,4.96%,-0.09%,-0.09,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU KINH TẾ HIỆN ĐẠI VINACAPITAL,VMPF,CTG,4.40%,4.33%,-0.07%,-0.07,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC TĂNG TRƯỞNG KIM,KDEF,MBB,4.75%,4.68%,-0.07%,-0.07,CHANGED
,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,SSISCA,TCB,7.30%,7.23%,-0.07%,-0.07,CHANGED
,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,LHCDF,HPG,3.56%,3.51%,-0.05%,-0.05,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,EVESG,MBB,4.64%,4.59%,-0.05%,-0.05,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DFVN,DCAF,CTG,4.52%,4.48%,-0.04%,-0.04,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,VESAF,CTG,3.99%,3.96%,-0.03%,-0.03,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU KINH TẾ HIỆN ĐẠI VINACAPITAL,VMPF,ACB,4.32%,4.29%,-0.03%,-0.03,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,EVESG,STB,4.62%,4.59%,-0.03%,-0.03,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,EVESG,HPG,7.27%,7.24%,-0.03%,-0.03,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HÀNG ĐẦU VCBF,VCBFBCF,HPG,5.79%,5.77%,-0.02%,-0.02,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,VESAF,MBB,14.79%,14.77%,-0.02%,-0.02,CHANGED
,QUỸ ĐẦU TƯ CHỌN LỌC PHÚ HƯNG VIỆT NAM,PHVSF,HPG,4.12%,4.11%,-0.01%,-0.01,CHANGED
